time_step,error_history,max_cost_history,min_cost_history,cost_norm_history,rugged_terr,warm_start,imperfect_state
0,0.19226450075424079,7800095.8954549935,7549346.121623183,250749.7738318108,False,False,True
1,1.0187247919581472,232206.77216990964,220380.4788682367,11826.293301672937,False,False,True
2,1.0194882931192386,229934.83236657968,211695.48609120547,18239.346275374206,False,False,True
3,1.0203296735556426,223486.2533524183,203676.2030250763,19810.050327342004,False,False,True
4,1.0213900370205529,209410.54238845521,189855.28611618697,19555.25627226825,False,False,True
5,1.022369652765188,203719.10787698685,181651.67892855825,22067.4289484286,False,False,True
6,1.0236269189056764,196495.3736297348,176124.00803512294,20371.365594611852,False,False,True
7,1.0240436625337723,186389.26468456828,160396.32380144086,25992.94088312742,False,False,True
8,1.0241160721440452,159519.88918452035,138352.0456420771,21167.84354244324,False,False,True
9,1.023669459608762,209242.45490142884,132707.06484529635,76535.39005613248,False,False,True
10,1.0231140126502094,162836.2366675738,145396.73668248812,17439.499985085684,False,False,True
11,1.0224264273959294,160253.80456954858,136729.56502767978,23524.239541868796,False,False,True
12,1.0214133460246242,146355.02517605433,127949.30365561781,18405.72152043652,False,False,True
13,1.020366785487412,134952.35742135794,116997.08073484339,17955.276686514553,False,False,True
14,1.0189623799838279,135124.78962691402,109889.7166831896,25235.072943724415,False,False,True
15,1.0173479179365372,120155.11976015489,99650.95636140354,20504.16339875135,False,False,True
16,1.015617151831925,112901.72827742808,94492.46333397328,18409.264943454793,False,False,True
17,1.0139903689958487,107407.82159956364,89379.29155012922,18028.530049434426,False,False,True
18,1.0127159358598952,101822.73784008838,82973.49428676914,18849.243553319233,False,False,True
19,1.011595212972005,93268.84240035221,81370.9594819245,11897.882918427713,False,False,True
20,1.0106829702297422,91094.16896665329,76436.6018759197,14657.567090733588,False,False,True
21,1.0097130493395854,78623.39013264113,68855.80677898502,9767.583353656111,False,False,True
22,1.0086500149434179,82386.27759363528,67021.02847365306,15365.249119982225,False,False,True
23,1.007358677713548,78248.85648556557,68187.59591728983,10061.260568275742,False,False,True
24,1.006020711317021,70382.45435874269,58208.32238718289,12174.1319715598,False,False,True
25,1.0045063044738265,73783.73132654387,62597.94993582452,11185.781390719349,False,False,True
26,1.0028216533410392,80304.8641295777,54439.17588129881,25865.688248278893,False,False,True
27,1.0012572731011118,67383.30444704805,53714.74571334175,13668.558733706304,False,False,True
28,0.9997027285749799,60704.98618429601,50901.89639563297,9803.089788663041,False,False,True
29,0.9981835169590626,54098.883581860006,44496.70610454952,9602.177477310484,False,False,True
30,0.9965031115949847,54308.47201503283,44657.07138800254,9651.400627030285,False,False,True
31,0.9946435276058265,50146.28738142534,42550.06478587605,7596.22259554929,False,False,True
32,0.99296791002448,47954.34701220361,40544.77331650633,7409.573695697276,False,False,True
33,0.9912897660743072,52127.11314714802,40727.27505041823,11399.838096729785,False,False,True
34,0.9895944042044013,47224.07045574464,37554.74498401088,9669.325471733755,False,False,True
35,0.9879067629337658,45207.21431005611,39074.24968960288,6132.9646204532255,False,False,True
36,0.9860482652804465,44190.476694043566,38049.88424414996,6140.592449893607,False,False,True
37,0.9840751932539299,44899.44708560941,40179.75691785893,4719.690167750479,False,False,True
38,0.9820013386642891,39968.92295631535,35378.77960842733,4590.143347888021,False,False,True
39,0.9797392157719415,46352.742150262784,37808.588501959326,8544.153648303458,False,False,True
40,0.9773009853259227,40553.544336281775,36297.27271342024,4256.271622861532,False,False,True
41,0.9747896162399794,43105.96198084726,36620.43430557871,6485.527675268553,False,False,True
42,0.9721609762914876,49470.12659026202,37903.832501672354,11566.294088589668,False,False,True
43,0.9694059518665058,42297.57455134072,35896.882928819185,6400.691622521532,False,False,True
44,0.9666436004712404,41791.088701969,35168.63150474077,6622.457197228228,False,False,True
45,0.9638803633051228,42483.6508007228,36048.881302240145,6434.769498482652,False,False,True
46,0.9610667707141313,40453.448939825656,34571.75263996881,5881.696299856849,False,False,True
47,0.9583866252790237,43405.08082222053,34368.600858078484,9036.479964142047,False,False,True
48,0.955916506988105,39267.371506048534,33713.743998010454,5553.62750803808,False,False,True
49,0.9536481282487905,37404.273391217306,32721.373307427642,4682.900083789664,False,False,True
