time_step,error_history,max_cost_history,min_cost_history,cost_norm_history,rugged_terr,warm_start,imperfect_state
0,0.19230505853086016,904922.3487285828,853056.1211452825,51866.22758330032,False,True,False
1,1.0187433306227773,232723.7577623145,222462.82740937424,10260.930352940253,False,True,False
2,1.0195128455861928,229759.9390404941,214953.1458279352,14806.7932125589,False,True,False
3,1.0203018654615514,224021.31554467397,208857.91422895313,15163.40131572084,False,True,False
4,1.021307353034408,216844.43646279635,198112.93468912685,18731.5017736695,False,True,False
5,1.0222290977455644,214700.22853895128,190352.1098694632,24348.11866948809,False,True,False
6,1.0235845969040673,208945.6774981587,183485.5741116118,25460.10338654692,False,True,False
7,1.0245291332962896,200447.41914383354,170462.1741002506,29985.245043582952,False,True,False
8,1.024275896443841,191233.9413543275,170882.3201352822,20351.62121904528,False,True,False
9,1.0240989291607896,185020.77748271584,168315.67864271923,16705.098839996615,False,True,False
10,1.0235940036470719,180758.50549325778,162985.26468730762,17773.24080595016,False,True,False
11,1.0229538489606385,179276.5085622045,154612.07282467175,24664.435737532738,False,True,False
12,1.0217546493633691,163487.66423004091,144686.5748060969,18801.08942394401,False,True,False
13,1.020803627971637,159430.6400868139,141664.3264069818,17766.313679832092,False,True,False
14,1.019944550278502,155755.55315455393,128983.9971898444,26771.55596470952,False,True,False
15,1.0190267733685145,147567.4601904179,127040.25371833665,20527.206472081263,False,True,False
16,1.0178948805189052,140491.9913179687,117592.90408461964,22899.087233349055,False,True,False
17,1.0170970639238353,134746.77444481116,115715.55487149715,19031.21957331401,False,True,False
18,1.0166246862660517,130479.98155412165,110046.34223266141,20433.639321460243,False,True,False
19,1.0163746906825368,122886.7115381395,107914.99511662504,14971.716421514458,False,True,False
20,1.0163383926357197,118205.36297855331,104044.55773856319,14160.80523999012,False,True,False
21,1.0160409144207148,113207.3788071464,100601.92843708978,12605.450370056613,False,True,False
22,1.0157896507871775,110770.05955518974,95720.25396786105,15049.805587328694,False,True,False
23,1.015678439603219,106118.77642418563,86840.03280344934,19278.74362073629,False,True,False
24,1.0153291976201073,97558.85159505572,83338.82858426322,14220.023010792502,False,True,False
25,1.0149826582832409,91377.36569630438,76853.6419514599,14523.72374484448,False,True,False
26,1.014733998546996,86064.0447373598,68811.13141195242,17252.913325407382,False,True,False
27,1.0147682467643648,80755.24491174477,66344.10056817422,14411.144343570544,False,True,False
28,1.0145748511385295,80857.0577991716,63860.04751850235,16997.010280669245,False,True,False
29,1.0143065348187648,72753.85825289975,61341.36000232366,11412.498250576093,False,True,False
30,1.0138316999839732,69233.39425179063,58147.09997940257,11086.294272388055,False,True,False
31,1.0131170640094513,67336.79593431138,53649.74384296057,13687.052091350808,False,True,False
32,1.0127093739841557,62862.095624711685,53223.047409580206,9639.048215131479,False,True,False
33,1.0120668001697601,62677.30926153586,50525.663745208076,12151.645516327786,False,True,False
34,1.011191675982038,67445.82802627774,50871.53327515324,16574.2947511245,False,True,False
35,1.0101854967986026,57192.766715404476,48520.26080099474,8672.505914409732,False,True,False
36,1.0090308070157195,57660.832545857105,46889.0212750591,10771.811270798004,False,True,False
37,1.0078339493094182,53352.059645293106,43323.812853549374,10028.246791743732,False,True,False
38,1.0065338956781935,51336.318357420765,43148.871584139386,8187.446773281379,False,True,False
39,1.0051763854611084,51419.5410372897,41967.2248410843,9452.3161962054,False,True,False
40,1.0037091141964212,47189.23478253187,41837.73848703674,5351.496295495133,False,True,False
41,1.002441759248603,48356.39194124438,39744.72700782564,8611.664933418739,False,True,False
42,1.0009431989833082,45290.86904499943,38466.6409900999,6824.228054899533,False,True,False
43,0.9993334352144245,42904.557591028526,37346.16223311928,5558.395357909249,False,True,False
44,0.9975757113740763,42207.707142813844,35771.62766564527,6436.079477168576,False,True,False
45,0.9955599463392993,40818.42889844783,34934.764716294085,5883.664182153749,False,True,False
46,0.9933077709437531,40883.60899529168,34445.168706024546,6438.440289267135,False,True,False
47,0.9908445150958346,38537.507804628054,33612.30979223527,4925.198012392786,False,True,False
48,0.988145799239718,39883.47183385507,33645.629311536686,6237.84252231838,False,True,False
49,0.9852613044544247,37850.70380328572,33271.68817819935,4579.015625086373,False,True,False
50,0.9820461358815264,37747.32351784143,32551.40852275247,5195.914995088962,False,True,False
51,0.9785433462758171,36188.489614347374,32251.94820709397,3936.541407253404,False,True,False
52,0.9748103882773286,37259.185476425046,31236.224053039958,6022.961423385088,False,True,False
53,0.9707337226010881,34523.14214575055,30991.31736915147,3531.824776599078,False,True,False
54,0.966265519129064,34740.23560177073,30750.17883032217,3990.0567714485587,False,True,False
55,0.961480986131111,34544.41346049533,30894.61863837723,3649.7948221180995,False,True,False
56,0.9562237589647463,35697.995477871904,30110.729446874786,5587.266030997118,False,True,False
57,0.9504613879267642,35678.876430641394,29362.935024689774,6315.94140595162,False,True,False
58,0.944055633096124,33349.55381672196,30222.560689572092,3126.9931271498644,False,True,False
59,0.9371045608184773,33385.984018936695,29897.87084907646,3488.1131698602367,False,True,False
60,0.9296933878958211,35261.34140130489,29905.49430598304,5355.847095321849,False,True,False
61,0.9217034050951569,35420.88273568787,29446.06191114916,5974.820824538707,False,True,False
62,0.9132842796399823,34187.21937402216,29695.254868665004,4491.9645053571585,False,True,False
63,0.9044890498417458,35426.16921412175,29747.30656490445,5678.862649217299,False,True,False
64,0.8952813290399464,34966.125348111294,30356.95898686022,4609.166361251075,False,True,False
65,0.8856882378887766,35655.671343039154,30534.720166689225,5120.951176349929,False,True,False
66,0.8761098939890016,38016.4132500343,29072.163010235425,8944.250239798872,False,True,False
67,0.866946415021551,34082.008611140234,29597.880573149814,4484.12803799042,False,True,False
68,0.8581551344162823,33939.03380710131,29443.75822351157,4495.275583589741,False,True,False
69,0.849697710016862,34015.01643058458,27786.026687452893,6228.9897431316895,False,True,False
70,0.8417133192624479,32800.85570760102,28521.222977393205,4279.632730207813,False,True,False
71,0.8340804153049302,33794.04325077371,27802.88688239426,5991.156368379452,False,True,False
72,0.8267955658478334,34427.626729502364,26944.451691778217,7483.175037724148,False,True,False
73,0.8197633776769694,31816.180244206396,28055.714055116812,3760.466189089584,False,True,False
74,0.8129606742852923,32793.86413803514,27350.05657943737,5443.807558597771,False,True,False
75,0.8065417742154726,30394.013460331036,27830.100565440236,2563.9128948908,False,True,False
76,0.8002813831783646,32094.98699282477,28237.75663703482,3857.2303557899504,False,True,False
77,0.7943737689790046,32601.335432395852,28327.398668070593,4273.936764325259,False,True,False
78,0.7889448722846283,32709.818744616096,27880.976762244954,4828.841982371141,False,True,False
79,0.7840315634684697,32931.81680544376,28387.527440138958,4544.289365304805,False,True,False
80,0.7797745785238331,32352.863305866886,27713.76025545878,4639.103050408106,False,True,False
81,0.7759528487206132,33408.2512472569,28030.90887502076,5377.34237223614,False,True,False
82,0.7725116833108867,31301.222127949382,27656.022360568128,3645.199767381255,False,True,False
83,0.7693873663336378,30555.392956121417,27272.27243677714,3283.1205193442765,False,True,False
84,0.766486029052694,31099.993040626083,26924.342561191326,4175.650479434757,False,True,False
85,0.7636407247959837,30177.57810004588,27305.787806340726,2871.790293705155,False,True,False
86,0.7608533963102073,31802.648819081827,26486.760454157557,5315.888364924271,False,True,False
87,0.758089546680631,29777.50726447525,27201.58915447177,2575.9181100034803,False,True,False
88,0.7551470217157169,32201.03274853386,26625.840159936448,5575.192588597412,False,True,False
89,0.7520954018796648,29846.93423049824,26850.761760073852,2996.172470424386,False,True,False
90,0.7490008578081125,31593.937291097507,26840.047720486175,4753.889570611333,False,True,False
91,0.7458377767070341,32251.375839070726,26740.210605460426,5511.1652336103,False,True,False
92,0.7426609517756464,31644.846001382728,26466.739688380472,5178.106313002256,False,True,False
93,0.7394150936938695,30168.659157968803,26440.994202047492,3727.664955921311,False,True,False
94,0.7360678933381836,30774.137937311505,26053.927172245407,4720.210765066098,False,True,False
95,0.7329019729477408,30086.068738416474,25975.001388920988,4111.067349495486,False,True,False
96,0.7297740357983935,30397.77301046589,26030.205697612997,4367.567312852894,False,True,False
97,0.7268931674584587,30318.68083330469,25617.50572587974,4701.175107424951,False,True,False
98,0.724467390721491,29560.67994739666,25355.50677976087,4205.173167635789,False,True,False
99,0.722460178433044,29804.663141135963,25712.52907913892,4092.1340619970433,False,True,False
100,0.7208558505152621,29776.860350049526,25229.94597596636,4546.914374083168,False,True,False
101,0.7195697286117563,30516.537825333868,25532.06646543053,4984.471359903338,False,True,False
102,0.7184348531688176,28720.926303107248,26238.31549366563,2482.6108094416195,False,True,False
103,0.7173161110697047,30776.515870793075,26351.470384428714,4425.045486364361,False,True,False
104,0.7162735791945236,28729.871573689015,25986.155855594265,2743.7157180947506,False,True,False
105,0.7153171949348223,30385.161922515766,26432.78357154686,3952.3783509689056,False,True,False
106,0.7142240338206204,29376.045101947093,25995.66515656799,3380.3799453791034,False,True,False
107,0.7130028954897323,29827.89969692917,25746.539647431124,4081.3600494980456,False,True,False
108,0.7117163141771907,30038.53405332131,26079.405872872012,3959.1281804492974,False,True,False
109,0.7103207272135857,30665.425459188347,24952.447673470637,5712.9777857177105,False,True,False
110,0.7090108452041612,29150.68627336317,25304.476822906785,3846.2094504563865,False,True,False
111,0.7077358863987382,29921.094253017203,25125.023587687574,4796.070665329629,False,True,False
112,0.7063055273223038,28957.5058925865,25168.386659820004,3789.1192327664976,False,True,False
113,0.7048684343134783,28704.062538453505,25519.300031481107,3184.762506972398,False,True,False
114,0.7033421545117965,28913.743107364648,25779.830792675166,3133.9123146894817,False,True,False
115,0.7018428770500156,31099.28471210158,25914.962441950243,5184.322270151337,False,True,False
