time_step,error_history,max_cost_history,min_cost_history,cost_norm_history,rugged_terr,warm_start,imperfect_state
0,0.1921808622870428,2551578.4998199595,2411832.8616683027,139745.63815165684,False,True,True
1,1.0186536111919384,234266.15297993814,220267.49440469535,13998.658575242793,False,True,True
2,1.0194008249878852,233666.283478898,217734.3860201011,15931.897458796884,False,True,True
3,1.0201025135448112,225731.92421576683,208137.8516414389,17594.072574327933,False,True,True
4,1.021036406490685,217547.3162300397,198368.69782842006,19178.618401619635,False,True,True
5,1.0219826377359562,216181.10557357746,192170.4635250221,24010.642048555368,False,True,True
6,1.0234977799113536,198591.26829356985,175943.5923149434,22647.675978626445,False,True,True
7,1.0243987731895117,201633.67201196396,172370.37793799693,29263.29407396703,False,True,True
8,1.0248451154693903,195247.63649426284,173734.66598986136,21512.970504401485,False,True,True
9,1.0248024817925763,184988.03414864236,170120.28140245785,14867.752746184502,False,True,True
10,1.0242409463919642,185924.98154262395,169169.11539801702,16755.86614460693,False,True,True
11,1.023617673787558,183201.6326224988,158714.15831196896,24487.474310529826,False,True,True
12,1.0224068968407913,168274.66601112008,148366.22478061056,19908.441230509517,False,True,True
13,1.021250551098718,164218.04702479806,146548.82882444747,17669.218200350588,False,True,True
14,1.0201233628885051,160256.67449754642,133259.22918378125,26997.445313765173,False,True,True
15,1.019078994270645,151465.01345665392,128414.58316809597,23050.430288557953,False,True,True
16,1.0179534075621015,145375.77811990632,120815.39270564042,24560.385414265897,False,True,True
17,1.016985524216801,130818.45439193968,111339.06178795263,19479.392603987057,False,True,True
18,1.0162792056483942,131752.1809921749,113592.34826547814,18159.832726696754,False,True,True
19,1.0158763945573825,127829.09530905103,112697.54643367825,15131.548875372784,False,True,True
20,1.0159238233720917,119013.2269501567,102642.88487436142,16370.342075795284,False,True,True
21,1.0158270032218821,116099.44461563064,103649.9123886549,12449.53222697573,False,True,True
22,1.0156852404855998,110772.14106508032,90676.82903387627,20095.31203120404,False,True,True
23,1.0154652378506013,104816.37005508161,84599.6571374654,20216.712917616213,False,True,True
24,1.0149960558537927,100168.90518544949,82996.31110005626,17172.594085393226,False,True,True
25,1.0143371907241716,93196.0553202295,78740.06038636327,14455.994933866226,False,True,True
26,1.013684271401062,87231.58758265775,71460.43054966185,15771.157032995907,False,True,True
27,1.013148423105792,86000.12754960322,72611.44700982832,13388.680539774898,False,True,True
28,1.0125375470113769,91658.15710252935,66478.48085774995,25179.676244779403,False,True,True
29,1.0119293440528088,74470.43108428887,61839.94859700611,12630.48248728276,False,True,True
30,1.0111833026316686,72008.67528198936,59274.34643226584,12734.328849723519,False,True,True
31,1.010054455017926,65302.610142039906,52983.95082630003,12318.659315739875,False,True,True
32,1.0092218217249018,65159.34613198262,54046.03613907006,11113.30999291256,False,True,True
33,1.0083500374013876,73146.5506895409,53898.312072276334,19248.23861726457,False,True,True
34,1.0074181167753666,88875.2843002692,50906.178534535335,37969.10576573386,False,True,True
35,1.0065772723243092,58830.25531370965,47999.67468461665,10830.580629092998,False,True,True
36,1.0056371164397067,59957.32606961703,48073.08659715301,11884.239472464025,False,True,True
37,1.0045880089879533,67660.23642577723,56243.58611504281,11416.650310734418,False,True,True
38,1.0034296541110195,57039.57509508389,47137.90930210596,9901.665792977932,False,True,True
39,1.0022175078921345,57192.867342938895,46977.28379423468,10215.583548704213,False,True,True
40,1.00078061131773,64220.29155636081,50882.569702638175,13337.721853722636,False,True,True
41,0.99930728798816,58261.203833101434,49222.82025345058,9038.38357965085,False,True,True
42,0.9975866759294951,59448.577615146074,52664.89579483713,6783.681820308942,False,True,True
43,0.9957565497785408,53262.43898750252,46248.43440166765,7014.004585834875,False,True,True
44,0.993678461315995,51662.46546309743,43054.22489104149,8608.24057205594,False,True,True
45,0.9914234056665021,54768.006569827194,42527.5548340656,12240.451735761591,False,True,True
46,0.988891503727581,50073.78772405352,42954.19315393707,7119.594570116453,False,True,True
47,0.9862956249906424,50742.29661807616,41766.457491393085,8975.839126683073,False,True,True
48,0.9835329407278909,49604.22538185089,43094.7019587652,6509.523423085688,False,True,True
49,0.980652304810093,50491.97315628037,42142.370109941665,8349.603046338707,False,True,True
50,0.9776975928455981,46447.12368075516,38406.61711007808,8040.506570677084,False,True,True
51,0.974601791631005,45608.245905348806,40379.627472971115,5228.618432377691,False,True,True
52,0.9713844828845574,46417.4977421995,40106.79034115358,6310.707401045918,False,True,True
53,0.9680605869084755,43254.49235164073,37389.6362105869,5864.856141053831,False,True,True
54,0.9646082794255988,57822.286100022226,38485.925837753275,19336.36026226895,False,True,True
55,0.9610794863551183,40998.87529774262,35006.28376168859,5992.591536054031,False,True,True
56,0.9573474804726237,44836.142998988405,36888.32247691309,7947.820522075315,False,True,True
57,0.9536038737590119,43163.78820726039,34887.331891135356,8276.456316125033,False,True,True
58,0.9496932921855684,42906.2681306844,37324.36330314918,5581.904827535225,False,True,True
59,0.9457252204392195,65232.89624357016,38171.925740178805,27060.970503391356,False,True,True
60,0.9419218382975466,40219.34198548611,35580.434647673064,4638.907337813049,False,True,True
61,0.9383389518149133,47296.61728398125,36956.95992637423,10339.657357607022,False,True,True
62,0.9347760452588311,49694.94081485474,41619.083583921456,8075.857230933281,False,True,True
63,0.9312976951955917,43707.72942905898,36873.73880749197,6833.990621567005,False,True,True
64,0.9277688092789187,44340.18556449482,38594.312898218006,5745.872666276817,False,True,True
