time_step,error_history,max_cost_history,min_cost_history,cost_norm_history,rugged_terr,warm_start,imperfect_state
0,0.19234605889464815,904922.3487285828,853056.1211452825,51866.22758330032,True,False,False
1,1.0187530153022244,231568.77152499754,221665.79808393822,9902.973441059323,True,False,False
2,1.0195511413997382,228049.37791004335,210978.93406337049,17070.44384667286,True,False,False
3,1.0203985963869373,219043.97833957066,199675.80151114444,19368.17682842622,True,False,False
4,1.0214805541843441,205522.8495712508,189857.48504330998,15665.364527940808,True,False,False
5,1.0227026466448295,200006.62522787243,183051.78829460952,16954.836933262908,True,False,False
6,1.0241509189749116,194954.43455498543,174081.59223128724,20872.84232369819,True,False,False
7,1.025888569371237,183068.12733778713,163131.72601095214,19936.40132683498,True,False,False
8,1.0273202248462427,170309.113358434,151379.89802185725,18929.215336576744,True,False,False
9,1.0282473340856784,163164.36836749036,147573.0301435071,15591.338223983272,True,False,False
10,1.0278587883528145,158905.87358329358,141077.14500303403,17828.728580259543,True,False,False
11,1.0270878303439936,158354.1049269857,133209.40054453674,25144.704382448952,True,False,False
12,1.0254167402901533,142756.11784583895,121796.83918067538,20959.27866516357,True,False,False
13,1.0230963737363745,134058.97528313473,116239.09244593795,17819.882837196783,True,False,False
14,1.0211598483829378,134938.51470792416,104345.0783799701,30593.436327954056,True,False,False
15,1.0190744387257553,120194.34666589895,100550.14257612584,19644.204089773106,True,False,False
16,1.0168251252634932,110221.4775614524,92204.65379831409,18016.82376313831,True,False,False
17,1.0146588179241234,104725.69776406308,84293.44737470127,20432.250389361812,True,False,False
18,1.012764773764806,102707.58619665209,79351.22877979747,23356.35741685462,True,False,False
19,1.011352799577996,92939.48562652411,76987.40781384337,15952.077812680742,True,False,False
20,1.0103484308595714,90203.02446525627,73637.12449954191,16565.899965714358,True,False,False
21,1.009410213346926,84399.87672955693,71720.54060301647,12679.336126540453,True,False,False
22,1.0084566905880121,80728.72328709744,66924.62847377821,13804.094813319229,True,False,False
23,1.0076801108327982,75965.38369707536,63589.78190684479,12375.601790230568,True,False,False
24,1.0071400073248038,74956.22158966903,61512.35482440531,13443.866765263723,True,False,False
25,1.006867404690484,71869.21822242341,59234.34646680506,12634.871755618355,True,False,False
26,1.0068714161902057,69543.42160037044,56715.224431231574,12828.19716913886,True,False,False
27,1.007305961494648,65514.88500500755,53416.385548574195,12098.499456433354,True,False,False
28,1.0079186309112245,69729.50201177353,51948.65794785868,17780.844063914847,True,False,False
29,1.008617228307599,62530.62460792678,49785.989013554936,12744.635594371844,True,False,False
30,1.0091806002235073,62884.88971922272,47954.1453337393,14930.74438548342,True,False,False
31,1.0094907770280832,53411.81876153226,46898.01808875,6513.800672782258,True,False,False
32,1.0096647998048482,52682.57042796016,47294.60177654728,5387.968651412884,True,False,False
33,1.0096431048026324,55898.95538058574,47278.4924710459,8620.462909539841,True,False,False
34,1.0095506237106215,57862.94182353819,45676.55666468825,12186.385158849938,True,False,False
35,1.0095255332049096,52148.70185749016,44821.419767721374,7327.282089768785,True,False,False
36,1.0093086137062404,54353.30825463655,44752.06710486207,9601.241149774476,True,False,False
37,1.0088545008703755,54031.79751027559,45157.03344522717,8874.764065048417,True,False,False
38,1.008202467965514,56077.218354610326,45446.02924694927,10631.189107661055,True,False,False
39,1.0072433755061168,52919.95165815118,44092.86601374982,8827.085644401355,True,False,False
40,1.0059576277643343,51329.946044590164,44313.38551918723,7016.560525402936,True,False,False
