time_step,error_history,max_cost_history,min_cost_history,cost_norm_history,rugged_terr,warm_start,imperfect_state
0,0.1923407104948112,3899028.855851958,3580189.7087924955,318839.1470594625,True,True,True
1,1.018731559360942,231004.303097539,219509.63832393746,11494.664773601544,True,True,True
2,1.0195103735704207,228783.859908589,214622.70924355774,14161.150665031251,True,True,True
3,1.0203510568649814,222127.45758307813,204788.66560168215,17338.791981395974,True,True,True
4,1.0214188402473596,216435.38602076497,197057.66088802004,19377.725132744934,True,True,True
5,1.0226907822582845,203580.57639105537,179780.919804291,23799.65658676435,True,True,True
6,1.0242178778840432,201164.2970884366,177625.24150236402,23539.055586072587,True,True,True
7,1.0261300946894547,189655.15408867938,162785.67417516862,26869.47991351076,True,True,True
8,1.0281754602169737,187422.74006245754,167108.22553500105,20314.514527456486,True,True,True
9,1.0300058417404403,180939.99204161513,165018.9234878106,15921.068553804536,True,True,True
10,1.0310406582291767,178896.58391563193,160815.4348378324,18081.14907779952,True,True,True
11,1.031614303441724,172223.05384595698,143485.110667607,28737.94317834999,True,True,True
12,1.031261747287273,168473.28110284958,148246.76484338302,20226.51625946656,True,True,True
13,1.0305952020170073,161983.64064957568,142706.95530016872,19276.685349406966,True,True,True
14,1.0297263175746572,159280.8240424553,131430.57338904418,27850.250653411116,True,True,True
15,1.0286135497815259,152045.02222448675,126312.07246583006,25732.949758656687,True,True,True
16,1.0271989191929696,139947.93594243325,115531.6613008164,24416.274641616852,True,True,True
17,1.0257558037702146,132817.5399406333,112498.9373543023,20318.60258633099,True,True,True
18,1.0243389331110258,122599.69667983372,106219.15205817515,16380.54462165857,True,True,True
19,1.0229279727080656,116223.22574999405,104322.04783813616,11901.177911857885,True,True,True
20,1.0218478329360299,115504.51283250065,94067.54138397399,21436.97144852666,True,True,True
21,1.020723430363549,116452.14314659104,103509.58455825067,12942.55858834037,True,True,True
22,1.0197330075871975,110572.35061955807,90894.63188914578,19677.718730412293,True,True,True
23,1.0188274135444537,117243.16441727206,98443.31224286991,18799.852174402142,True,True,True
24,1.0177444162284939,110170.57710978505,91057.17436642398,19113.402743361075,True,True,True
25,1.0168698214967609,108262.4184487209,87024.41580539904,21238.00264332186,True,True,True
26,1.0159202671230911,94287.10175117012,73780.81732631785,20506.284424852274,True,True,True
